,circuit_id,package_price,tenure_month,pay_first,ipphone,tv_box,mobile,dl_speed,ul_speed,claims,active_status,Churn Risk
79540,2567J7441,490.0,23,0,0,0,0,600,600,0,1,1
79543,5558J7186,250.0,47,0,0,0,0,250,100,0,1,1
79544,4232J8988,260.0,26,0,0,0,0,100,100,1,1,1
79545,3471J1615,700.0,59,0,0,0,0,1000,500,0,1,1
79546,3475J1016,590.0,42,1,0,0,0,1000,300,0,1,1
79547,4536J3715,260.0,47,0,0,0,0,100,100,0,1,1
79548,4324J1953,260.0,49,0,0,0,0,100,100,0,1,1
79550,4455J9282,360.0,75,0,0,0,0,300,300,0,1,1
79551,4381J3341,260.0,55,0,0,0,0,100,100,0,1,1
79553,4485J5789,460.0,81,0,0,0,0,500,500,0,1,1
79554,3228J8479,360.0,33,0,0,0,0,300,300,1,1,1
79555,7343J7121,260.0,69,0,0,0,0,100,100,0,1,1
79558,5361J5131,700.0,106,0,0,0,0,1000,500,0,1,1
79563,4229J7873,290.0,26,1,0,0,0,300,300,0,1,1
79572,4467J8575,260.0,60,0,0,0,0,100,100,0,1,1
79577,3855J4993,390.0,45,0,0,0,0,300,300,0,1,1
79580,4254J0874,490.0,47,0,0,0,0,400,400,0,1,1
79583,3475J5689,490.0,96,0,0,0,0,500,500,0,1,1
79586,5324J2498,290.0,21,1,0,0,0,300,300,0,1,1
79594,4284J1389,590.0,46,0,0,0,0,1000,200,0,1,1
79596,7754J2536,260.0,29,0,0,0,0,100,100,0,1,1
79599,3461J0868,360.0,35,0,0,0,0,300,300,0,1,1
79602,2387J5918,700.0,87,0,0,0,0,1000,500,0,1,1
79604,7553J8801,460.0,34,0,0,0,0,500,500,0,1,1
79605,5315J4624,250.0,37,0,0,0,0,250,100,0,1,1
79606,4231J2260,360.0,72,0,0,0,0,300,300,0,1,1
79607,4467J6878,260.0,75,0,0,0,0,100,100,0,1,1
79608,4467J1356,260.0,31,0,0,0,0,100,100,0,1,1
79609,3723J1444,260.0,50,0,0,0,0,100,100,0,1,1
79611,3828J5399,590.0,103,0,0,0,0,1000,200,0,1,1
79614,4485J7501,460.0,69,0,0,0,0,500,500,0,1,1
79620,4379J0027,260.0,47,0,0,0,0,100,100,0,1,1
79621,4343J0262,460.0,28,0,0,0,0,500,500,0,1,1
79624,7462J0207,290.0,37,1,0,0,0,300,300,0,1,1
79625,4381J3026,390.0,57,0,0,0,0,65,20,0,1,1
79627,4404J6952,360.0,28,0,0,0,0,300,300,0,1,1
79628,2582J6358,290.0,45,0,0,0,0,30,30,0,1,1
79630,4386J7382,360.0,75,0,0,0,0,300,300,0,1,1
79632,3452J7415,490.0,42,0,0,0,0,500,500,1,1,1
79634,3242J5529,590.0,107,0,0,0,0,1000,200,0,1,1
79635,4223J1504,299.0,56,0,0,0,0,30,15,0,1,1
79642,3852J8994,290.0,24,1,0,0,0,300,300,0,1,1
79649,4232J7108,290.0,36,0,0,0,0,100,100,0,1,1
