,circuit_id,package_price,tenure_month,pay_first,ipphone,tv_box,mobile,dl_speed,ul_speed,claims,active_status,Churn Risk
79545,3471J1615,700.0,59,0,0,0,0,1000,500,0,1,1
79546,3475J1016,590.0,42,1,0,0,0,1000,300,0,1,1
79558,5361J5131,700.0,106,0,0,0,0,1000,500,0,1,1
79594,4284J1389,590.0,46,0,0,0,0,1000,200,0,1,1
79602,2387J5918,700.0,87,0,0,0,0,1000,500,0,1,1
79611,3828J5399,590.0,103,0,0,0,0,1000,200,0,1,1
79634,3242J5529,590.0,107,0,0,0,0,1000,200,0,1,1
79658,3232J7293,590.0,87,0,0,0,0,1000,200,0,1,1
79666,5377J5028,700.0,107,0,0,0,0,1000,500,1,1,1
79674,2215J5556,590.0,84,0,0,0,0,1000,300,0,1,1
79681,3851J2340,590.0,60,0,0,0,0,1000,200,3,1,1
79687,3262J8226,590.0,59,0,0,0,0,1000,200,3,1,1
79688,2271J5627,700.0,93,0,0,1,0,1000,200,0,1,1
79707,7781J0844,590.0,118,0,0,0,0,1000,300,0,1,1
79711,4376J7040,700.0,78,0,0,0,0,1000,500,1,1,1
79726,3867J7726,590.0,90,0,0,0,0,1000,200,0,1,1
79729,3867J2060,700.0,68,0,0,0,0,1000,500,0,1,1
79736,3261J6252,700.0,96,0,0,0,0,1000,500,2,1,1
79744,3261J9123,590.0,64,0,0,0,0,1000,200,0,1,1
79755,2583J3893,590.0,47,0,1,0,0,500,500,0,1,1
79768,2240J2018,700.0,43,0,0,0,0,1000,500,0,1,1
79775,3552J8353,590.0,64,0,0,0,0,1000,200,0,1,1
79788,5331J7157,590.0,93,0,0,0,0,1000,200,0,1,1
79792,5553J5297,590.0,108,0,0,0,0,1000,200,1,1,1
79821,5471J1097,700.0,109,0,0,0,0,1000,500,0,1,1
79830,2457J5585,700.0,100,0,0,0,0,1000,500,0,1,1
79838,3222J8561,590.0,74,1,0,0,0,1000,300,0,1,1
79847,2458J0897,590.0,55,0,0,0,0,1000,300,0,1,1
79849,3840J8328,700.0,90,0,0,0,0,500,500,0,1,1
79857,7742J7969,590.0,88,0,0,0,0,1000,200,0,1,1
79865,3845J5508,590.0,99,0,0,0,0,250,250,0,1,1
79872,3225J6416,590.0,71,0,0,0,0,1000,200,0,1,1
79877,7553J0147,590.0,118,0,0,0,0,1000,200,0,1,1
